# File:Ag_capital_USDA.csv
# Title: Global estimates of ag labor inputs USDA
# Units:Value of Agricultural Capital Stock ($millions), constant 2015 prices
# Source: international agricultural total factor productivity (TFP) indices 1961-2019
# Date of last update:2022/10/6
# Column types: iccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
FAO,ISO3,Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
159,NGA,Nigeria,10844,11265,11730,12209,13117,13521,14127,14811,15730,16499,17226,17933,18827,19556,20341,21318,22113,23023,23867,24613,25173,25885,26600,27302,28185,29330,30318,31369,32423,32861,33160,33602,35033,35921,36855,39736,42662,45219,47702,50171,52640,60157,67805,71884,76055,82310,88754,95803,102951,112342,120031,129050,138146,147227,156759,164727,171522,177706,188491
53,BEN,Benin,213,228,245,260,286,304,321,315,337,344,355,381,411,396,430,436,448,461,475,510,527,551,591,615,650,573,569,558,548,594,612,627,630,699,622,615,610,607,606,608,616,630,643,663,682,703,725,752,778,801,824,853,884,923,968,1009,1055,1104,1153
107,CIV,Côte d'Ivoire,1126,1276,1378,1432,1535,1617,1720,1827,1953,2035,2105,2206,2293,2363,2480,2702,2929,3092,3296,3440,3589,3756,3780,3952,3979,4263,4335,4582,4787,4980,5126,5272,5390,5514,5639,5673,5683,5725,5751,5731,5832,5964,6124,6169,6182,6212,6227,6304,6362,6513,6616,6652,6712,6814,7023,7298,7578,7836,7788
81,GHA,Ghana,6039,6655,7153,8324,8792,8973,9527,10038,10602,10762,10778,11369,11286,12250,11619,11279,11158,11092,11086,11270,11445,11814,12093,12459,12863,12790,13416,13454,14022,13718,14215,13897,14073,14256,14264,13970,13586,13252,12783,12703,12522,12281,12176,12132,12109,12148,12675,13341,13758,14054,14463,14888,15224,15381,15492,15876,16570,17736,17658
90,GIN,Guinea,281,299,314,329,343,356,349,352,343,346,347,354,374,390,405,411,414,418,420,423,423,423,424,423,374,283,335,379,410,419,448,481,515,555,597,646,691,712,750,769,810,855,850,860,871,895,948,1013,1102,1177,1246,1329,1429,1539,1663,1798,2574,2383,2464
175,GNB,Guinea-Bissau,39,40,42,43,43,43,43,43,43,43,44,46,47,48,49,51,53,54,56,57,58,60,61,62,64,65,68,71,75,77,77,79,82,83,85,85,89,91,96,99,101,104,106,108,112,115,119,126,132,139,150,159,167,172,182,195,211,222,227
123,LBR,Liberia,101,108,116,123,129,136,142,149,154,159,167,172,178,183,189,194,200,207,213,221,231,242,252,259,267,272,279,280,274,260,252,249,248,248,248,241,238,238,241,251,264,278,281,283,282,282,290,299,313,327,340,363,395,442,482,521,560,597,635
197,SLE,Sierra Leone,196,208,220,230,239,247,253,258,262,267,271,276,282,287,293,298,300,301,308,340,354,371,357,344,348,351,357,356,358,536,526,549,561,603,602,594,586,575,567,558,547,542,545,552,566,583,607,636,669,702,741,793,896,1016,1077,1127,1186,1259,1325
217,TGO,Togo,260,269,295,318,338,343,348,362,351,366,349,397,404,421,449,450,447,461,438,388,401,443,413,452,475,540,567,671,670,715,655,585,560,540,467,476,488,494,505,506,508,511,515,517,522,525,524,531,538,545,550,559,567,576,587,603,618,633,635
32,CMR,Cameroon,592,595,635,580,618,697,712,749,825,903,955,920,913,941,1004,1071,1157,1219,1250,1441,1468,1370,1327,1391,1592,1643,1662,1724,1781,1845,1830,1824,1823,1829,1822,1867,1923,1992,2065,2117,2179,2248,2313,2386,2460,2524,2589,2671,2763,2870,2985,3121,3275,3470,3696,3935,4166,4425,4678
37,CAF,Central African Republic,128,129,134,140,147,163,178,193,208,221,232,246,259,270,276,285,311,353,454,488,504,531,601,581,601,626,631,652,680,705,756,763,767,786,808,800,796,796,796,799,803,806,806,806,806,805,804,804,802,795,785,781,752,723,697,674,652,633,613
250,COD,Congo DR,6063,5888,5702,5567,5079,5323,5454,5718,6109,6884,7062,7238,7470,7698,7874,8012,8087,8128,8208,8305,8484,8642,8790,8942,9238,9678,10144,10643,11179,11751,10961,11253,10696,10489,10154,9608,9866,10227,10382,9845,9458,9108,8736,8329,7959,7603,7297,7074,6926,6656,6536,6639,6552,6462,6404,6409,6470,6553,6502
46,COG,Congo Republic,242,250,275,296,292,289,277,300,329,364,380,391,399,434,487,542,585,635,610,589,615,655,728,717,786,772,789,779,744,792,783,793,814,824,833,841,845,846,841,839,829,825,818,812,812,809,799,796,798,807,812,831,854,884,920,950,562,553,689
61,GNQ,Equatorial Guinea,16,16,16,16,18,19,19,20,20,21,21,22,22,24,25,24,25,25,25,26,26,27,27,28,28,28,29,29,30,30,30,31,31,32,32,40,47,55,64,82,104,111,128,145,157,168,181,195,213,227,243,265,278,289,297,300,299,300,327
74,GAB,Gabon,169,193,213,226,243,256,263,273,262,263,277,294,305,319,336,394,433,480,479,474,471,467,467,508,558,627,656,686,726,769,818,862,891,879,840,858,881,898,897,888,876,870,869,859,846,833,824,812,804,799,799,805,811,821,836,864,885,900,920
193,STP,Sao Tome and Principe,18,19,18,17,16,15,17,17,16,16,15,14,15,13,15,17,16,16,16,16,17,18,18,18,19,19,19,19,20,20,22,25,24,24,25,25,25,25,25,24,25,26,27,28,29,30,32,31,32,32,37,42,41,40,39,39,38,38,18
29,BDI,Burundi,182,187,188,194,208,213,240,247,271,285,286,299,318,327,354,364,372,412,426,345,275,280,281,287,266,314,293,305,301,315,318,324,314,286,294,288,293,298,318,314,313,309,312,332,329,328,326,330,334,343,352,361,377,389,401,412,423,435,446
114,KEN,Kenya,1648,1675,1584,1693,1717,1770,1779,1749,1782,1926,1956,2012,2027,2068,2091,2061,2102,2287,2506,2275,2239,2467,2807,2900,2853,2903,2903,3080,3205,3275,3140,3124,3108,3119,3107,3180,3257,3351,3446,3543,3643,3706,3750,3809,3916,4082,4256,4521,4856,5308,5845,6465,7106,7863,8864,9917,11186,12583,13307
184,RWA,Rwanda,376,397,431,441,444,503,564,524,575,608,636,637,655,627,624,595,597,620,618,634,630,643,656,632,660,636,617,623,639,629,652,623,593,562,474,472,475,480,482,488,494,502,515,530,551,573,595,616,642,672,708,757,807,870,944,1039,1172,1327,1385
