# File:UrbanShare_SSP.csv
# Title: country level urban share from SSP database across SSPs
# Units:ppl, constant 2015 prices
# Source: SSP database
# Column types: cccccnnnnnnnnnn
# ----------
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
NCAR,SSP1_v9_130115,BIH,Population|Urban|Share,%,48.621,57.79245426,65.91211119,72.77505493,78.40241403,82.93125513,86.53648332,89.38919559,91.63945915,93.41199252
NCAR,SSP1_v9_130115,BLR,Population|Urban|Share,%,74.695,81.9586321,86.08791243,88.70066479,90.48717448,91.77989766,92.75601476,93.51778732,94.12807489,94.62752296
NCAR,SSP1_v9_130115,BOL,Population|Urban|Share,%,66.545,72.85457715,77.86022782,81.82594029,84.98268444,87.51416149,89.56099183,91.22944671,92.59980433,93.73305716
NCAR,SSP1_v9_130115,BRA,Population|Urban|Share,%,86.529,88.708723,90.21838642,91.32022058,92.15671402,92.81144396,93.33647753,93.76586118,94.12275846,94.4234579
NCAR,SSP1_v9_130115,BWA,Population|Urban|Share,%,61.134,68.75235148,75.38669386,80.93738158,85.43439195,88.98721728,91.74045593,93.84314852,95.4315492,96.62172674
NCAR,SSP1_v9_130115,CAF,Population|Urban|Share,%,38.943,47.77458124,56.18036869,63.74715187,70.28811047,75.78935924,80.33604509,84.05447053,87.07746667,89.52753842
NCAR,SSP1_v9_130115,CAN,Population|Urban|Share,%,80.582,83.85301438,86.58707817,88.86448186,90.75755457,92.32928718,93.63342628,94.71525834,95.61264924,96.35711432
NCAR,SSP1_v9_130115,CHE,Population|Urban|Share,%,73.623,80.87082981,85.04118741,87.69592559,89.51661639,90.83579776,91.83213201,92.60929366,93.23125274,93.73948762
NCAR,SSP1_v9_130115,CHL,Population|Urban|Share,%,89.004,91.349002,93.2319382,94.72869258,95.90896492,96.83380121,97.55489528,98.11495891,98.54864567,98.8836904
NCAR,SSP1_v9_130115,CHN,Population|Urban|Share,%,46.955,58.5923576,68.01438585,75.25825733,80.73282619,84.87180027,88.02565757,90.45363805,92.34226312,93.82537153
NCAR,SSP1_v9_130115,CIV,Population|Urban|Share,%,50.561,59.4098323,67.1869036,73.74140124,79.11593845,83.4486733,86.90668456,89.65103956,91.82253523,93.53830683
NCAR,SSP1_v9_130115,CMR,Population|Urban|Share,%,58.397,66.03393724,73.15154995,79.42431522,84.66418491,88.83602288,92.02566709,94.38657117,96.09117716,97.29947717
NCAR,SSP1_v9_130115,COD,Population|Urban|Share,%,35.218,45.30978073,54.94429131,63.47181483,70.64567524,76.50009537,81.20105165,84.94831227,87.92882048,90.30077554
NCAR,SSP1_v9_130115,COG,Population|Urban|Share,%,62.119,69.98448322,75.91601205,80.40147208,83.83826966,86.51493628,88.63398875,90.33719827,91.72483464,92.86891486
NCAR,SSP1_v9_130115,COL,Population|Urban|Share,%,75.071,82.33612868,86.46570133,89.0791252,90.86662711,92.16052453,93.13790982,93.90099549,94.51261449,95.01339808
NCAR,SSP1_v9_130115,CRI,Population|Urban|Share,%,64.417,72.75780204,78.53928492,82.64877826,85.66410576,87.94442632,89.71518622,91.12172237,92.26061839,93.1979829
NCAR,SSP1_v9_130115,CUB,Population|Urban|Share,%,75.225,82.52215085,86.5979749,89.15155766,90.88714458,92.1380996,93.08012619,93.81386737,94.40085213,94.88070462
NCAR,SSP1_v9_130115,CYP,Population|Urban|Share,%,70.32,78.1539843,83.48190256,87.21521811,89.91586881,91.92556165,93.45701798,94.64710373,95.58687934,96.33884294
NCAR,SSP1_v9_130115,CZE,Population|Urban|Share,%,73.541,80.79506572,84.95986568,87.60712375,89.42064473,90.73339255,91.72401633,92.49608313,93.11345116,93.61750385
NCAR,SSP1_v9_130115,DEU,Population|Urban|Share,%,73.849,80.97814471,85.32731129,88.19688826,90.21121912,91.69426462,92.82744649,93.71916818,94.43777281,95.02830475
NCAR,SSP1_v9_130115,DNK,Population|Urban|Share,%,86.866,88.90049694,90.23125381,91.15955709,91.83731158,92.34904719,92.74542654,93.05861926,93.31001723,93.51439172
NCAR,SSP1_v9_130115,DOM,Population|Urban|Share,%,69.181,75.45517191,80.12574508,83.65750322,86.37964705,88.51766408,90.22604914,91.61209036,92.75166499,93.69948682
NCAR,SSP1_v9_130115,DZA,Population|Urban|Share,%,66.497,73.3710911,78.47829944,82.32317623,85.27242412,87.57872612,89.41491882,90.90046197,92.11935212,93.1317947
NCAR,SSP1_v9_130115,ECU,Population|Urban|Share,%,66.947,73.93205812,79.03683529,82.83193186,85.71620581,87.95660448,89.7317473,91.16302633,92.33468205,93.30646854
NCAR,SSP1_v9_130115,EGY,Population|Urban|Share,%,43.402,52.90837456,61.36591376,68.51760526,74.39007327,79.14267408,82.96855121,86.04807424,88.53329486,90.54659814
NCAR,SSP1_v9_130115,ERI,Population|Urban|Share,%,21.577,30.4913765,40.22185981,49.76208556,58.3662245,65.7054259,71.76825662,76.70054018,80.69341867,83.92899608
NCAR,SSP1_v9_130115,ESP,Population|Urban|Share,%,77.396,84.20256526,88.20206172,90.78299239,92.5673626,93.86548671,94.84700607,95.61170375,96.22181643,96.71805416
NCAR,SSP1_v9_130115,EST,Population|Urban|Share,%,69.487,75.33094302,79.89838536,83.48379758,86.32291231,88.59391371,90.42891115,91.92566423,93.15697286,94.17760277
NCAR,SSP1_v9_130115,ETH,Population|Urban|Share,%,16.661,24.27345866,33.62699813,44.04514074,54.55429395,64.25226165,72.57879749,79.35251012,84.65659603,88.70252444
NCAR,SSP1_v9_130115,FIN,Population|Urban|Share,%,85.09,87.28193688,89.12655019,90.68355178,92.00184179,93.12136539,94.07477514,94.88883165,95.58554736,96.1831057
NCAR,SSP1_v9_130115,FRA,Population|Urban|Share,%,85.251,87.48313752,89.25855516,90.69540072,91.87595697,92.85876289,93.686335,94.39015573,94.99395525,95.51591315
NCAR,SSP1_v9_130115,GAB,Population|Urban|Share,%,86.028,88.75731801,90.04117856,90.74068928,91.15233935,91.40561013,91.56571653,91.66866635,91.73558985,91.77940289
NCAR,SSP1_v9_130115,GBR,Population|Urban|Share,%,79.638,85.5281504,90.28088832,93.7735633,96.14957807,97.67605457,98.61922093,99.18755328,99.52475961,99.72297698
NCAR,SSP1_v9_130115,GEO,Population|Urban|Share,%,52.747,60.76034271,68.08956148,74.50808256,79.93131316,84.38437527,87.96008483,90.78244971,92.98129573,94.67755209
NCAR,SSP1_v9_130115,GHA,Population|Urban|Share,%,51.471,60.48365561,68.21373628,74.59403147,79.74529178,83.85739082,87.12404491,89.71593481,91.77387885,93.41048045
